,AREA,PERIMETER,MAJORAXIS,MINORAXIS,ECCENTRICITY,CONVEX_AREA,EXTENT,CLASS
0,15231,525.57897949219,229.74987792968997,85.093788146973,0.92888200283051,15617,0.57289552688599,Cammeo
1,14656,494.31100463867006,206.02006530762,91.730972290039,0.8954049944877601,15072,0.6154363155365,Cammeo
2,14634,501.12200927734,214.10678100586003,87.76828765869101,0.9121180772781401,14954,0.69325882196426,Cammeo
3,13176,458.34298706055,193.33738708496003,87.44839477539101,0.8918609023094201,13368,0.64066904783249,Osmancik
4,14688,507.1669921875,211.74337768555,89.312454223633,0.9066908955574,15262,0.64602392911911,Cammeo
5,13479,477.01599121094,200.05305480957,86.650291442871,0.90132832527161,13786,0.65789729356766,Cammeo
6,15757,509.28100585937995,207.29667663573997,98.336135864258,0.88032346963882,16150,0.58970808982849,Cammeo
7,16405,526.57000732422,221.61251831055,95.43670654296899,0.90252059698105,16837,0.6588882803916899,Cammeo
8,14534,483.64099121094,196.65081787108997,95.050682067871,0.8754285573959399,14932,0.64965134859085,Cammeo
9,13485,471.57000732422006,198.27264404297,87.72728729248001,0.89678931236267,13734,0.57231986522675,Cammeo
10,14930,499.92498779297006,212.2458190918,90.017478942871,0.90560644865036,15248,0.62437272071838,Cammeo
11,14626,496.58599853516,204.53413391113,92.974868774414,0.89071154594421,15070,0.5702144503593399,Cammeo
12,15926,522.73999023438,225.7360534668,91.057090759277,0.9150331616401701,16240,0.7797688841819801,Cammeo
13,14076,479.67700195312005,199.48915100098,90.70998382568399,0.89063888788223,14434,0.78121876716614,Cammeo
14,13500,476.91500854492006,202.54667663573997,85.405471801758,0.9067548513412499,13800,0.7177033424377399,Cammeo
15,14349,496.9460144043,213.54402160645,86.16077423095699,0.9149883985519399,14678,0.66683709621429,Cammeo
16,15209,496.56500244141,214.0500793457,91.026321411133,0.9050725698471099,15395,0.56936955451965,Cammeo
17,15238,496.87100219727006,208.53178405762,93.828399658203,0.89305490255356,15487,0.73231446743011,Cammeo
18,13509,480.46600341797006,207.13716125488,83.940162658691,0.91421055793762,13732,0.5956349372863801,Cammeo
19,13699,480.72900390625,197.97091674805,89.949073791504,0.89082074165344,14178,0.6720467209816,Cammeo
20,13921,481.99301147461,203.44486999512,88.125816345215,0.9013131856918299,14210,0.5613306164741501,Cammeo
21,14405,488.23699951172006,204.43013000488,90.62645721435499,0.8963670730590799,14742,0.7637857794761701,Cammeo
22,13377,472.96099853516,199.94078063965,86.68286895751999,0.90113300085068,13685,0.7948306798934899,Cammeo
23,15043,498.29901123047006,206.01170349121003,94.76668548584,0.88791567087173,15414,0.58688360452652,Cammeo
24,14590,496.17199707031,212.10075378418,88.60240936279301,0.9085678458213801,14883,0.57148450613022,Cammeo
25,13237,466.00299072266,197.90480041503997,85.709571838379,0.90135318040848,13445,0.59241855144501,Cammeo
26,16226,524.20501708984,216.87326049805,96.65367889404301,0.8951978683471701,16748,0.64862489700317,Cammeo
27,13203,469.46600341797006,199.34185791016003,85.389572143555,0.9036093950271601,13431,0.60155820846558,Cammeo
28,13328,473.04400634766,201.39886474608997,85.25860595703101,0.9059745669364899,13588,0.7800995111465501,Cammeo
29,14945,493.10800170897994,202.04698181152,95.079414367676,0.88235694169998,15357,0.7399980425834699,Cammeo
30,13130,467.92199707031,196.14680480957,86.20711517334,0.89824110269547,13462,0.5748183131218001,Cammeo
31,13414,479.90100097656,203.08596801758,85.73687744140601,0.90651649236679,13735,0.71404236555099,Cammeo
32,16104,507.4289855957,206.07073974608997,100.7536315918,0.8723244667053199,16457,0.6054135560989399,Cammeo
33,11827,455.22100830077994,194.7844543457,78.431533813477,0.91535049676895,12212,0.76998698711395,Cammeo
34,14479,475.92498779297006,200.55194091797,92.178062438965,0.88811469078064,14696,0.71142888069153,Cammeo
35,14306,482.24798583984,197.68579101562,94.056106567383,0.8795611262321501,14667,0.58795005083084,Cammeo
36,14415,488.12200927734,203.59284973145,91.03472900390601,0.8944634199142499,14758,0.6741021275520301,Cammeo
37,14415,490.06600952147994,206.53924560547,90.017532348633,0.90002542734146,14671,0.65332669019699,Cammeo
38,14524,480.21200561522994,199.93301391602,93.31210327148399,0.8844068050384499,14808,0.61127948760986,Cammeo
39,13780,497.4280090332,221.72290039062,79.95213317871101,0.9327225685119599,14010,0.5507814288139301,Cammeo
40,12768,464.82000732422006,195.38815307617,84.35991668701199,0.90199065208435,13085,0.58298707008362,Cammeo
41,13047,486.36898803711,213.1944732666,79.28887176513699,0.92826932668686,13621,0.6154245138168299,Cammeo
42,14456,492.95098876952994,212.41122436523,87.36013031005899,0.9115098118782,14726,0.7950283288955698,Cammeo
43,13973,474.00799560547006,192.34928894043,93.77914428710899,0.87309724092484,14354,0.61419779062271,Cammeo
44,13858,482.57998657227006,205.02015686035,86.96467590331999,0.90557968616486,14154,0.55592107772827,Cammeo
45,13148,481.72198486327994,201.51889038086003,84.541534423828,0.9077453017234799,13572,0.62374877929688,Cammeo
46,12792,462.07299804687995,194.48100280762,84.730888366699,0.9001030921936,13032,0.59392702579498,Cammeo
47,15778,515.27301025391,214.03784179688,95.497665405273,0.89494729042053,16283,0.6862983703613299,Cammeo
48,15404,509.51699829102006,217.2975769043,91.39753723144501,0.90724152326584,15696,0.63370084762573,Cammeo
49,14911,494.08898925781,207.56024169922,92.410606384277,0.8954197168350201,15132,0.60476154088974,Cammeo
50,15360,504.23199462891,210.39074707031003,94.74095916748001,0.89287251234055,15751,0.7576579451561,Cammeo
51,15746,503.23098754882994,204.8744354248,99.44870758056601,0.8742849826812701,16171,0.75303679704666,Cammeo
52,14304,489.03698730469,211.02661132812,86.839424133301,0.91140556335449,14483,0.57772928476334,Cammeo
53,15136,518.64398193359,221.70910644531003,88.20763397216801,0.9174491763114899,15469,0.52971231937408,Cammeo
54,12919,475.26000976562005,201.81565856933997,83.206268310547,0.9110533595085101,13256,0.76516228914261,Cammeo
55,15224,510.88198852539,213.19616699218997,92.32341003418001,0.9013726115226701,15686,0.63952952623367,Cammeo
