AREA,PERIMETER,MAJORAXIS,MINORAXIS,ECCENTRICITY,CONVEX_AREA,EXTENT
15231,525.57897949219,229.74987792969,85.093788146973,0.92888200283051,15617,0.57289552688599
14656,494.31100463867,206.02006530762,91.730972290039,0.89540499448776,15072,0.6154363155365
14634,501.12200927734,214.10678100586,87.768287658691,0.91211807727814,14954,0.69325882196426
13176,458.34298706055,193.33738708496,87.448394775391,0.89186090230942,13368,0.64066904783249
14688,507.1669921875,211.74337768555,89.312454223633,0.9066908955574,15262,0.64602392911911
13479,477.01599121094,200.05305480957,86.650291442871,0.90132832527161,13786,0.65789729356766
15757,509.28100585938,207.29667663574,98.336135864258,0.88032346963882,16150,0.58970808982849
16405,526.57000732422,221.61251831055,95.436706542969,0.90252059698105,16837,0.65888828039169
14534,483.64099121094,196.65081787109,95.050682067871,0.87542855739594,14932,0.64965134859085
13485,471.57000732422,198.27264404297,87.72728729248,0.89678931236267,13734,0.57231986522675
14930,499.92498779297,212.2458190918,90.017478942871,0.90560644865036,15248,0.62437272071838
14626,496.58599853516,204.53413391113,92.974868774414,0.89071154594421,15070,0.57021445035934
15926,522.73999023438,225.7360534668,91.057090759277,0.91503316164017,16240,0.77976888418198
14076,479.67700195312,199.48915100098,90.709983825684,0.89063888788223,14434,0.78121876716614
13500,476.91500854492,202.54667663574,85.405471801758,0.90675485134125,13800,0.71770334243774
14349,496.9460144043,213.54402160645,86.160774230957,0.91498839855194,14678,0.66683709621429
15209,496.56500244141,214.0500793457,91.026321411133,0.90507256984711,15395,0.56936955451965
15238,496.87100219727,208.53178405762,93.828399658203,0.89305490255356,15487,0.73231446743011
13509,480.46600341797,207.13716125488,83.940162658691,0.91421055793762,13732,0.59563493728638
13699,480.72900390625,197.97091674805,89.949073791504,0.89082074165344,14178,0.6720467209816
13921,481.99301147461,203.44486999512,88.125816345215,0.90131318569183,14210,0.56133061647415
14405,488.23699951172,204.43013000488,90.626457214355,0.89636707305908,14742,0.76378577947617
13377,472.96099853516,199.94078063965,86.68286895752,0.90113300085068,13685,0.79483067989349
15043,498.29901123047,206.01170349121,94.76668548584,0.88791567087173,15414,0.58688360452652
14590,496.17199707031,212.10075378418,88.602409362793,0.90856784582138,14883,0.57148450613022
13237,466.00299072266,197.90480041504,85.709571838379,0.90135318040848,13445,0.59241855144501
16226,524.20501708984,216.87326049805,96.653678894043,0.89519786834717,16748,0.64862489700317
13203,469.46600341797,199.34185791016,85.389572143555,0.90360939502716,13431,0.60155820846558
13328,473.04400634766,201.39886474609,85.258605957031,0.90597456693649,13588,0.78009951114655
14945,493.10800170898,202.04698181152,95.079414367676,0.88235694169998,15357,0.73999804258347
13130,467.92199707031,196.14680480957,86.20711517334,0.89824110269547,13462,0.5748183131218
13414,479.90100097656,203.08596801758,85.736877441406,0.90651649236679,13735,0.71404236555099
16104,507.4289855957,206.07073974609,100.7536315918,0.87232446670532,16457,0.60541355609894
11827,455.22100830078,194.7844543457,78.431533813477,0.91535049676895,12212,0.76998698711395
14479,475.92498779297,200.55194091797,92.178062438965,0.88811469078064,14696,0.71142888069153
14306,482.24798583984,197.68579101562,94.056106567383,0.87956112623215,14667,0.58795005083084
14415,488.12200927734,203.59284973145,91.034729003906,0.89446341991425,14758,0.67410212755203
14415,490.06600952148,206.53924560547,90.017532348633,0.90002542734146,14671,0.65332669019699
14524,480.21200561523,199.93301391602,93.312103271484,0.88440680503845,14808,0.61127948760986
13780,497.4280090332,221.72290039062,79.952133178711,0.93272256851196,14010,0.55078142881393
